Mouse,Number,Organ,Timepoint,CFU
Group1,A,Lung,30,3.804480189
Group1,B,Lung,30,3.720159303
Group1,C,Lung,30,3.750122527
Group1,D,Lung,30,4.005395032
Group2,A,Lung,30,2.788875116
Group2,B,Lung,30,3.528273777
Group2,C,Lung,30,3.337459261
Group2,D,Lung,30,2.694605199
Group3,A,Lung,30,3.989004616
Group3,B,Lung,30,4.217483944
Group3,C,Lung,30,3.875061263
Group3,D,Lung,30,3.852784869
Group4,A,Lung,30,3.989004616
Group4,B,Lung,30,3.68797462
Group4,C,Lung,30,4.092545208
Group4,D,Lung,30,3.574031268
Group1,A,Spleen,30,3.929418926
Group1,B,Spleen,30,3.439332694
Group1,C,Spleen,30,4.031408464
Group1,D,Spleen,30,3.720159303
Group2,A,Spleen,30,3.380211242
Group2,B,Spleen,30,2.342422681
Group2,C,Spleen,30,3
Group2,D,Spleen,30,2.477121255
Group3,A,Spleen,30,2.77815125
Group3,B,Spleen,30,4.096910013
Group3,C,Spleen,30,3.397940009
Group3,D,Spleen,30,3.477121255
Group4,A,Spleen,30,2.84509804
Group4,B,Spleen,30,3.477121255
Group4,C,Spleen,30,2.954242509
Group4,D,Spleen,30,2.698970004
Group1,A,Lung,60,5.449092531
Group1,B,Lung,60,5.670941281
Group1,C,Lung,60,6.227243782
Group1,D,Lung,60,5.84703254
Group1,E,Lung,60,5.595220567
Group2,A,Lung,60,5.013363962
Group2,B,Lung,60,4.971971276
Group2,C,Lung,60,4.896250562
Group2,D,Lung,60,5.013363962
Group3,A,Lung,60,6.202420198
Group3,B,Lung,60,5.595220567
Group3,C,Lung,60,6.102305045
Group3,D,Lung,60,5.584755133
Group4,A,Lung,60,4.153814864
Group4,B,Lung,60,4.963197352
Group4,C,Lung,60,5.148062535
Group4,D,Lung,60,4.720159303
Group4,E,Lung,60,4.73539927
Group1,A,Spleen,60,5.074633618
Group1,B,Spleen,60,5.227243782
Group1,C,Spleen,60,5.258278015
Group1,D,Spleen,60,5.301029996
Group1,E,Spleen,60,5.138302698
Group2,A,Spleen,60,4.273001272
Group2,B,Spleen,60,4.375663614
Group2,C,Spleen,60,3.352182518
Group2,D,Spleen,60,3.653212514
Group3,A,Spleen,60,4.889301703
Group3,B,Spleen,60,4.821185883
Group3,C,Spleen,60,4.301029996
Group3,D,Spleen,60,5.89279003
Group4,A,Spleen,60,4.352182518
Group4,B,Spleen,60,4.327358934
Group4,C,Spleen,60,4.795880017
Group4,D,Spleen,60,4.021189299
Group4,E,Spleen,60,4.327358934
Group1,A,Lung,90,5.875061263
Group1,B,Lung,90,6.993160575
Group1,C,Lung,90,5.644069134
Group1,D,Lung,90,6.051152522
Group2,A,Lung,90,4.503450193
Group2,B,Lung,90,4.77815125
Group2,C,Lung,90,4.916453949
Group2,D,Lung,90,4.885785129
Group3,A,Lung,90,5.971971276
Group3,B,Lung,90,5.62518379
Group3,C,Lung,90,5.712333966
Group3,D,Lung,90,5.369911285
Group3,E,Lung,90,5.085914629
Group4,A,Lung,90,4.804480189
Group4,B,Lung,90,4.885785129
Group4,C,Lung,90,4.864065879
Group4,D,Lung,90,4.449092531
Group4,E,Lung,90,4.935759104
Group1,A,Spleen,90,5.176091259
Group1,B,Spleen,90,5.574031268
Group1,C,Spleen,90,5.419129308
Group1,D,Spleen,90,5.339948062
Group2,A,Spleen,90,4.795880017
Group2,B,Spleen,90,4.138302698
Group2,C,Spleen,90,4
Group2,D,Spleen,90,5
Group3,A,Spleen,90,5.301029996
Group3,B,Spleen,90,4.67669361
Group3,C,Spleen,90,5.287241711
Group3,D,Spleen,90,4.90982337
Group3,E,Spleen,90,4.68797462
Group4,A,Spleen,90,4.243038049
Group4,B,Spleen,90,4.352182518
Group4,C,Spleen,90,4.243038049
Group4,D,Spleen,90,4.210853365
Group4,E,Spleen,90,4.070037867
